"Type","Price information classification","Area","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","District","Nearest station : Name","Nearest station : Distance","Total transaction value","Area(‡u)","Land : Price per m2","Land : Shape","Frontage","Building : Total floor area","Building : Construction year","Building : Structure","Use","Purpose of use","Frontage road : Direction","Frontage road : Width","Frontage road : Type","City planning","Building coverage ratio","Floor area ratio","Transaction timing","Transaction factors"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Minamishinagawa","Shimbamba",8,170000000,145,1200000,"Semi-rectangular Shaped",9,"","","","","House","West",2.4,"Ward Road","Quasi-Ind",60,300,"1st quarter 2025","Dealings including private road"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Minamishinagawa","Shimbamba",7,80000000,70,1100000,"Semi-rectangular Shaped",5.2,"","","","","House","West",2.7,"Ward Road","Quasi-Ind",60,300,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Minamishinagawa","Shimbamba",4,55000000,60,890000,"Semi-rectangular Shaped",8.3,"","","","","House","South",3.2,"Private Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Minamishinagawa","Shimbamba",7,110000000,130,"","Semi-rectangular Shaped",14.2,"","1975","W","House","House","West",2.5,"Road","Quasi-Ind",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Minamishinagawa","Shimbamba",6,75000000,55,"","Rectangular Shaped",7,80,"1987","RC","House","House","West",4.5,"Ward Road","Quasi-Ind",60,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Shimo Shimmei",7,280000000,135,"","Semi-rectangular Shaped",10.8,115,"1974","W","House","House","North",5.3,"Ward Road","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Shimo Shimmei",6,35000000,70,510000,"Semi-rectangular Shaped",9.3,"","","","","House","South",1.8,"Private Road","1 Res",60,200,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Togoshi",8,320000000,115,"","Semi-rectangular Shaped",10.4,350,"2002","RC","Housing Complex, Shop","House","Southwest",7,"Ward Road","Neighborhood Comm",80,400,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Togoshi Koen",5,440000000,180,"","Semi-rectangular Shaped",10.9,430,"2023","RC","Housing Complex","House","East",6,"Ward Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Togoshi Koen",6,90000000,120,"","Semi-rectangular Shaped",9.1,170,"1986","RC","Housing Complex","House","Northeast",5.6,"Ward Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Togoshi Koen",4,140000000,105,1300000,"Trapezoidal Shaped",16,"","","","","House","Northwest",4.1,"Ward Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Nakanobu",6,40000000,70,570000,"Semi-shaped","","","","","","Other","Northeast",4,"Private Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Nakanobu",2,68000000,75,930000,"Semi-rectangular Shaped",7.5,"","","","","House","West",4.5,"Private Road","1 Exc Low",60,200,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Nakanobu",2,72000000,45,"","Rectangular Shaped",3.9,70,"2006","W","House","House","East",4.3,"Ward Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Nakanobu",2,46000000,50,900000,"Rectangular Shaped",4.4,"","","","","House","Northwest",4,"Private Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13109","Tokyo","Shinagawa Ward","Yutakacho","Nishi Oi",8,87000000,75,1100000,"Semi-rectangular Shaped",6,"","","","","House","East",4,"Private Road","1 Res",60,300,"3rd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Aobadai","Shinsen",10,130000000,70,"","","",150,"2001","W","","","Southwest",4,"Private Road","1 Res",60,240,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kamimeguro","Yutenji",5,120000000,85,"","","",95,"1998","W","","","Southeast",4,"Public Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kamimeguro","Naka Meguro",5,180000000,75,"","","",80,"2005","W","","","Northeast",4,"Public Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kamimeguro","Yutenji",5,160000000,75,"","","",125,"2025","W","","","North",3.1,"","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Gohongi","Yutenji",10,130000000,80,"","","",90,"2017","W","","","East",3.6,"Private Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Gohongi","Yutenji",5,160000000,90,"","","",100,"2017","W","","","East",4,"Public Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Gohongi","Yutenji",5,140000000,65,"","","",105,"2025","W","","","West",4,"Private Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Jiyuugaoka","Jiyugaoka(Tokyo)",10,120000000,65,"","","",100,"1999","W","","","West",3.3,"Private Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Senzoku","Senzoku",5,130000000,95,"","","",145,"2007","RC","","","East",5.4,"Public Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Senzoku","Senzoku",5,140000000,105,"","","",100,"2014","W","","","Northwest",4.5,"Private Road","1 Exc Low",50,100,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Takaban","Gakugei Daigaku",10,95000000,55,"","","",90,"2000","W","","","North",5.6,"Public Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Musashi Koyama",15,71000000,60,"","","",75,"2009","W","","","North",4,"Private Road","1 Exc Med",60,160,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Nishi Koyama",15,60000000,35,"","","",60,"2024","W","","","West",4,"Private Road","1 Exc Med",60,160,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Nishi Koyama",5,71000000,60,"","","",65,"2018","W","","","Northwest",4,"Private Road","1 Res",60,160,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Musashi Koyama",5,80000000,75,"","","",110,"1996","W","","","South",4,"Private Road","1 Res",60,160,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakacho","Yutenji",20,98000000,75,"","","",100,"2013","W","","","Southeast",4,"Private Road","1 Exc Med",60,160,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakameguro","Yutenji",15,68000000,45,"","","",65,"1998","W","","","West",3.5,"Public Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Higashigaoka","Komazawa Daigaku",15,320000000,255,"","","",200,"2020","W","","","East",5.4,"Public Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Minami","Ookayama",10,110000000,75,"","","",115,"2008","W","","","Southeast",3.4,"Private Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Yakumo","Toritsu Daigaku",15,85000000,70,"","","",90,"1988","SRC","","","North",5.9,"Public Road","1 Exc Low",50,100,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Yakumo","Jiyugaoka(Tokyo)",15,170000000,105,"","","",130,"2014","W","","","South",4,"Private Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Yutenji",20,99000000,75,"","","",100,"1997","W","","","Southeast",4.2,"Private Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Meguro",15,230000000,105,"","","",170,"2024","W","","","South",4,"Public Road","1 Exc Low",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Meguro","Meguro",20,130000000,95,"","","",175,"1990","W","","","South",5.4,"Public Road","1 Exc Med",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",10,98000000,175,"","","",170,"2013","W","","","Southwest",2.6,"Private Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",15,140000000,120,"","","",210,"1994","W","","","West",4,"Private Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kamimeguro","Yutenji",5,150000000,75,"","","",125,"2025","W","","","North",3.1,"Private Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Tairamachi","Toritsu Daigaku",5,82000000,55,"","","",80,"2006","W","","","North",3.1,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Toritsu Daigaku",15,140000000,85,"","","",135,"2007","W","","","Northeast",7.8,"Public Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Toritsu Daigaku",15,140000000,110,"","","",140,"2008","W","","","East",4,"Private Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Gakugei Daigaku",10,55000000,45,"","","",50,"1975","W","","","Northwest",3.2,"Public Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Aobadai","Shinsen",10,140000000,65,"","","",100,"2005","W","","","Southwest",4,"Private Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Ookayama","Toritsu Daigaku",10,110000000,80,"","","",105,"2018","W","","","North",4,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",10,100000000,70,"","","",85,"2012","W","","","Southwest",4,"Private Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kamimeguro","Naka Meguro",10,140000000,60,"","","",90,"2013","W","","","Southwest",4,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kamimeguro","Naka Meguro",10,130000000,50,"","","",95,"2004","W","","","","","","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Tairamachi","Toritsu Daigaku",15,88000000,55,"","","",120,"1991","W","","","","","Public Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Chuocho","Gakugei Daigaku",10,260000000,110,"","","",125,"2024","LS","","","",7.2,"Public Road","2 Exc Med",60,196,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Nishi Koyama",15,73000000,50,"","","",85,"2012","W","","","West",6,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Toritsu Daigaku",15,110000000,70,"","","",105,"2020","W","","","North",6,"Public Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Toritsu Daigaku",15,230000000,175,"","","",140,"1953","W","","","Southeast",11,"Public Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Ookayama","Ookayama",10,130000000,75,"","","",85,"2016","W","","","East",4.3,"Public Road","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Tairamachi","Ookayama",10,94000000,110,"","","",60,"1982","W","","","East",5.7,"Public Road","Neighborhood Comm",80,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Chuocho","Gakugei Daigaku",10,150000000,110,"","","",145,"1986","LS","","","West",5.2,"Public Road","Quasi-Ind",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Nishi Koyama",15,120000000,70,"","","",105,"2024","W","","","South",4,"Private Road","1 Res",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Gakugei Daigaku",10,120000000,60,"","","",95,"2014","W","","","West",5.4,"Public Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Himon-ya","Toritsu Daigaku",15,220000000,165,"","","",155,"1985","W","","","Northwest",5.8,"Public Road","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",10,210000000,145,"","","",140,"2012","W","","","South",5.4,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",10,190000000,120,"","","",120,"2017","LS","","","West",5.2,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",10,380000000,255,"","","",295,"2013","RC","","","West",3.7,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Shimomeguro","Musashi Koyama",15,78000000,75,"","","",80,"2003","W","","","","","","1 Exc Med",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Gakugei Daigaku",15,120000000,140,"","","",115,"2006","W","","","East",7.2,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Gakugei Daigaku",15,110000000,100,"","","",115,"2024","W","","","Northwest",4,"Public Road","1 Res",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Musashi Koyama",10,130000000,65,"","","",105,"2024","W","","","West",4.3,"Public Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Gakugei Daigaku",15,85000000,50,"","","",85,"2004","W","","","Northwest",7.8,"Public Road","Quasi-Ind",70,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Musashi Koyama",10,36000000,85,"","","",120,"1988","W","","","","","","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Kakinokizaka","Toritsu Daigaku",10,170000000,130,"","","",125,"2011","W","","","Southeast",8.7,"Public Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Gohongi","Gakugei Daigaku",10,300000000,230,"","","",245,"2016","W","","","Southeast",5.4,"Public Road","1 Exc Low",70,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Gohongi","Gakugei Daigaku",5,76000000,35,"","","",100,"2011","RC","","","Northeast",5,"Public Road","Neighborhood Comm",80,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Gohongi","Yutenji",5,130000000,70,"","","",105,"2010","W","","","North",6.3,"Public Road","1 Exc Low",70,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Shimomeguro","Meguro",10,230000000,85,"","","",160,"2025","W","","","South",4.2,"Public Road","Quasi-Ind",60,252,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Shimomeguro","Meguro",15,93000000,75,"","","",150,"1993","W","","","Southwest",2.5,"Public Road","1 Exc Low",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Shimomeguro","Meguro",10,190000000,95,"","","",160,"2010","W","","","Northeast",6,"Public Road","Quasi-Ind",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Jiyuugaoka","Jiyugaoka(Tokyo)",10,170000000,100,"","","",185,"2004","W","","","East",6.1,"Public Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Gakugei Daigaku",15,150000000,80,"","","",150,"2020","S","","","North",4,"Public Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Gakugei Daigaku",15,160000000,150,"","","",115,"2007","LS","","","North",1.9,"Private Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Nishi Koyama",10,72000000,40,"","","",65,"2025","W","","","East",4,"Private Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Gohongi","Yutenji",10,140000000,50,"","","",85,"2017","W","","","East",7,"Public Road","Neighborhood Comm",90,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Gohongi","Yutenji",5,230000000,125,"","","",160,"2015","W","","","North",6.2,"Public Road","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Shimomeguro","Fudo Mae",10,130000000,75,"","","",80,"2011","W","","","",4.5,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Jiyuugaoka","Jiyugaoka(Tokyo)",10,370000000,235,"","","",255,"1984","RC","","","West",5.2,"Public Road","1 Exc Low",50,100,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Senzoku","Senzoku",5,120000000,90,"","","",100,"2012","W","","","Southwest",7.2,"Public Road","1 Exc Low",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Senzoku","Senzoku",5,210000000,225,"","","",235,"2010","W","","","East",3.4,"Private Road","1 Res",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakane","Toritsu Daigaku",10,140000000,90,"","","",90,"2022","W","","","East",4,"Private Road","1 Exc Low",60,100,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Haramachi","Nishi Koyama",5,70000000,45,"","","",85,"2008","W","","","Southeast",3.3,"Private Road","1 Res",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Mita","Ebisu(Tokyo)",15,190000000,80,"","","",110,"2006","RC","","","Northeast",4,"","1 Exc Med",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Musashi Koyama",10,120000000,70,"","","",100,"2018","W","","","East",4,"Private Road","1 Res",60,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Musashi Koyama",10,140000000,75,"","","",105,"2024","W","","","East",3.1,"Private Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Musashi Koyama",10,89000000,65,"","","",85,"2019","W","","","North",4,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Nishi Koyama",10,94000000,60,"","","",95,"2008","W","","","South",3.7,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Megurohoncho","Gakugei Daigaku",15,110000000,75,"","","",100,"2003","W","","","","","","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakacho","Yutenji",20,63000000,55,"","","",70,"2001","W","","","West",4,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakacho","Yutenji",15,120000000,70,"","","",125,"2025","W","","","","","","1 Res",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakameguro","Naka Meguro",15,89000000,95,"","","",100,"1998","W","","","Northeast",4,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakameguro","Naka Meguro",10,110000000,50,"","","",75,"2017","W","","","North","","Private Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Higashigaoka","Komazawa Daigaku",15,170000000,100,"","","",105,"2020","W","","","Southeast",4,"Public Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Midorigaoka","Midorigaoka(Tokyo)",5,90000000,60,"","","",90,"2006","W","","","South",3.2,"Private Road","1 Exc Med",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Midorigaoka","Toritsu Daigaku",10,170000000,120,"","","",140,"2000","W","","","North",7.9,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Minami","Toritsu Daigaku",15,210000000,135,"","","",160,"2016","W","","","East",3.7,"Public Road","2 Res",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Minami","Ookayama",10,66000000,55,"","","",90,"2001","W","","","East",3.8,"Public Road","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Yakumo","Toritsu Daigaku",20,150000000,115,"","","",100,"2014","W","","","North",5.4,"Public Road","1 Exc Low",50,100,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Yakumo","Toritsu Daigaku",10,96000000,90,"","","",135,"1995","W","","","","","","1 Exc Low",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Komaba","Komaba Todaimae",10,37000000,35,"","","",40,"1954","W","","","West",1.8,"Private Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Komaba","Komaba Todaimae",10,250000000,90,"","","",135,"2016","RC","","","East",5.3,"Public Road","1 Exc Low",50,100,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakacho","Gakugei Daigaku",15,150000000,85,"","","",140,"2019","W","","","Northeast",3.7,"Public Road","1 Res",70,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakacho","Yutenji",10,180000000,85,"","","",150,"2024","W","","","","","","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakacho","Gakugei Daigaku",15,70000000,65,"","","",85,"2005","W","","","Northwest",4,"Public Road","1 Exc Med",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakacho","Yutenji",15,100000000,70,"","","",95,"1999","LS","","","Northwest",3.2,"Private Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Nakameguro","Naka Meguro",10,170000000,65,"","","",100,"2007","W","","","Northeast",3.4,"Private Road","Quasi-Ind",60,240,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Higashigaoka","Komazawa Daigaku",10,210000000,150,"","","",250,"1992","","","","North",5.4,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13110","Tokyo","Meguro Ward","Higashigaoka","Komazawa Daigaku",10,190000000,130,"","","",175,"2018","W","","","East",3.7,"Private Road","1 Exc Low",60,150,"2nd quarter 2025",""
