"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","15",6.1e+07,"70",NA,"","","105","2024","W","","","West",3.3,"Public Road","1 Exc Med",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamiya","Shimo","10",1.1e+07,"40",NA,"","","70","1974","W","","","",NA,"","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","15",8e+07,"70",NA,"","","120","2025","W","","","West",11,"Public Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Sakaecho","Sakaecho(Tokyo)","5",6.4e+07,"55",NA,"","","95","","W","","","West",4,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Sakaecho","Oji(Tokyo)","10",5.8e+07,"50",NA,"","","80","2025","W","","","Southeast",4.5,"Public Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","5",8.9e+07,"85",NA,"","","105","2025","W","","","East",4,"Public Road","1 Res",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","5",9.7e+07,"85",NA,"","","115","2025","W","","","East",4,"Public Road","1 Res",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Jujo(Tokyo)","10",4.5e+07,"45",NA,"","","65","2011","W","","","South",3,"Public Road","1 Res",60,160,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Akabanenishi","Motohasunuma","15",4.3e+07,"105",NA,"","","100","1968","W","","","North",4.8,"Public Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","10",1.3e+07,"55",NA,"","","70","1976","W","","","South",1.7,"Private Road","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","10",5.8e+07,"50",NA,"","","95","2025","W","","","North",5.3,"Public Road","1 Exc Med",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Oji","Higashi Jujo","15",3.6e+07,"85",NA,"","","75","1991","W","","","",NA,"","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Oji","Oji Kamiya","5",6e+07,"45",NA,"","","65","2025","W","","","North",4,"Private Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Oji","Oji Kamiya","5",6.4e+07,"65",NA,"","","70","2025","W","","","North",4,"Private Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Ojihoncho","Oji(Tokyo)","10",4.6e+07,"35",NA,"","","65","2026","W","","","South",10,"Public Road","Neighborhood Comm",80,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","15",6e+07,"55",NA,"","","80","2023","W","","","North",4,"Public Road","1 Exc Med",70,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","15",5e+07,"55",NA,"","","80","2011","W","","","",NA,"","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","15",5.8e+07,"50",NA,"","","75","2025","W","","","",NA,"","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","15",8e+07,"75",NA,"","","115","2025","W","","","Southwest",4,"Public Road","1 Exc Med",80,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","10",8.5e+07,"75",NA,"","","125","2025","W","","","Northwest",4,"Private Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","5",9.6e+07,"85",NA,"","","120","2025","W","","","Southwest",3.3,"Private Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","15",8.7e+07,"95",NA,"","","120","2025","W","","","South",4,"Public Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","15",8.4e+07,"70",NA,"","","120","2025","W","","","South",4,"Public Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","15",7e+07,"70",NA,"","","115","2025","W","","","North",4.2,"Private Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamiya","Shimo","10",1.1e+07,"40",NA,"","","70","1974","W","","","",NA,"","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Jujodai","Jujo(Tokyo)","10",5.9e+07,"50",NA,"","","90","2015","W","","","",NA,"","1 Res",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Tabata","Tabata(Tokyo)","10",6.2e+07,"40",NA,"","","65","2025","W","","","",NA,"","1 Res",60,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","10",7.1e+07,"60",NA,"","","100","2025","W","","","Southwest",3.5,"Private Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","10",7.3e+07,"60",NA,"","","100","2025","W","","","Southwest",3.5,"Private Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","5",7.6e+07,"65",NA,"","","110","2020","W","","","West",3.2,"Private Road","1 Res",60,160,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","10",5.8e+07,"65",NA,"","","75","2015","W","","","",NA,"","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","15",6.8e+07,"115",NA,"","","90","2004","W","","","Northwest",4.5,"Public Road","1 Exc Med",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","10",8200000,"40",NA,"","","45","1963","W","","","East",5,"Public Road","1 Exc Med",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Akabanenishi","Motohasunuma","15",6.3e+07,"70",NA,"","","100","2025","W","","","South",4.2,"Private Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","10",2e+07,"55",NA,"","","70","1976","W","","","South",1.7,"Private Road","1 Exc Med",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","5",5.7e+07,"60",NA,"","","85","2010","W","","","Southeast",4.4,"Public Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","10",6.2e+07,"50",NA,"","","90","2025","W","","","North",5.4,"","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","10",5.8e+07,"50",NA,"","","95","2025","W","","","North",5.4,"","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","10",7e+07,"70",NA,"","","105","2025","W","","","North",5.4,"","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Oji","Oji(Tokyo)","5",5e+07,"55",NA,"","","115","1998","W","","","Southwest",3.2,"Public Road","Neighborhood Comm",80,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","5",8.8e+07,"120",NA,"","","125","1991","W","","","South",3.6,"Public Road","1 Res",70,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","5",9.4e+07,"85",NA,"","","130","2025","W","","","Southwest",3.3,"Private Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","5",9e+07,"85",NA,"","","120","2025","W","","","Southwest",3.3,"Private Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","5",2e+07,"75",NA,"","","75","1980","W","","","",NA,"Private Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamiya","Higashi Jujo","15",8.6e+07,"90",NA,"","","120","2025","W","","","South",4,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Kamiya","Oji Kamiya","10",6.2e+07,"60",NA,"","","85","2020","W","","","Southwest",7.5,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Tabata","Komagome","10",8.8e+07,"65",NA,"","","75","2022","W","","","Southwest",4,"Private Road","Neighborhood Comm",80,240,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","5",9e+07,"65",NA,"","","120","2025","W","","","East",6.2,"Public Road","1 Res",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","10",8e+07,"65",NA,"","","115","2025","W","","","",NA,"","1 Res",70,160,"3rd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","",13117,"Tokyo","Kita Ward","Nakajujo","Higashi Jujo","10",6e+07,"70",NA,"","","75","2015","W","","","",NA,"","Neighborhood Comm",80,300,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Akabane","Akabane","6",2.7e+08,"80",NA,"Semi-trapezoidal Shaped","7","300","2007","S","Housing Complex, Office","House","East",8,"Ward Road","Neighborhood Comm",80,400,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Akabane","Akabane","5",2.3e+08,"115",NA,"Irregular Shaped","9","360","1965","S","House, Office, Shop","Shop","West",8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabane","Akabane Iwabuchi","4",3.6e+07,"45",NA,"Rectangular Shaped","7.8","55","1977","W","House","House","Southwest",4,"Private Road","1 Res",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Akabane","Akabane Iwabuchi","2",6.6e+08,"280",NA,"Semi-shaped","","490","1970","S","House, Shop","Other","East",30,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabane","Akabane Iwabuchi","6",8.2e+07,"180",NA,"Semi-rectangular Shaped","12","200","1986","S","Housing Complex","Other","North",2.5,"Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanekita","Kita Akabane","6",4.1e+07,"60",NA,"Semi-rectangular Shaped","4","100","2004","W","House","House","South",4.6,"Ward Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanekita","Kita Akabane","9",1.6e+08,"240",NA,"Semi-rectangular Shaped","9.5","70","1966","S","Other","Other","South",15,"Ward Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanekita","Kita Akabane","8",9.5e+07,"90",NA,"Semi-square Shaped","9","90","2018","W","Housing Complex","House","Southwest",4,"Ward Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanedai","Akabane","11",2e+07,"60",NA,"Semi-trapezoidal Shaped","4.5","50","1968","W","Housing Complex","House","West",4,"Private Road","1 Exc Med",60,150,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Akabanedai","Akabane","6",4.5e+08,"125",NA,"Trapezoidal Shaped","15","400","2021","RC","Housing Complex","House","Northeast",15,"Tokyo Metropolitan Road","Neighborhood Comm",80,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanedai","Akabane","8",3.8e+07,"40",NA,"Semi-rectangular Shaped","5","70","1997","W","House","House","North",4,"Ward Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanedai","Kita Akabane","9",1.4e+07,"45",NA,"Rectangular Shaped","4.6","65","1965","W","House","Other","North",1.8,"Private Road","1 Exc Med",60,150,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","8",3.1e+07,"50",NA,"Rectangular Shaped","4","30","1952","W","House","House","South",6,"Ward Road","1 Exc Med",60,150,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","11",7e+07,"65",NA,"Rectangular Shaped","5.6","90","2025","W","House","House","East",4.5,"Private Road","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","11",7e+07,"65",NA,"Trapezoidal Shaped","6.5","85","2025","W","House","House","South",5.4,"Ward Road","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","8",2e+07,"40",NA,"Rectangular Shaped","4","55","1986","W","House","House","South",3.8,"Ward Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","9",4.7e+07,"50",NA,"Semi-square Shaped","7","80","1972","RC, S","House, Shop","","North",6,"Ward Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","12",1e+07,"35",NA,"Trapezoidal Shaped","9","60","1970","W","House, Parking Lot","House","East",6,"Ward Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Akabanenishi","Akabane","5",1.8e+08,"165",NA,"Semi-trapezoidal Shaped","17","360","1968","RC","Housing Complex, Shop","Other","North",5,"Ward Road","Neighborhood Comm",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Motohasunuma","12",6.8e+07,"55",NA,"Rectangular Shaped","5.9","100","","W","House","House","Northwest",4,"Private Road","1 Res",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Motohasunuma","11",8800000,"55",NA,"Semi-shaped","","60","","W","House","","North",4,"Private Road","Quasi-Ind",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Motohasunuma","10",4.9e+07,"100",NA,"Rectangular Shaped","7.5","185","1977","S","Housing Complex, Factory, Parking Lot","House","West",4,"Ward Road","Quasi-Ind",60,200,"4th quarter 2024","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Motohasunuma","12",2.1e+07,"120",NA,"Irregular Shaped","2","95","1968","W","House","House","West",11,"Ward Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabanenishi","Motohasunuma","12",6.7e+07,"55",NA,"Semi-rectangular Shaped","5.8","95","","W","House","House","North",4,"Private Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Akabaneminami","Akabane","8",8.1e+07,"175",NA,"Irregular Shaped","","240","1967","S","Housing Complex","House","South",7.7,"Ward Road","Quasi-Ind",60,300,"3rd quarter 2025","Dealings in which auction or arbiter participates"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","5",5.9e+07,"55",NA,"Rectangular Shaped","6.5","75","2025","W","House","House","East",4,"Road","Quasi-Ind",60,200,"3rd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","7",4.9e+07,"60",NA,"Semi-rectangular Shaped","5","75","2018","W","House","House","North",4.5,"Ward Road","1 Exc Med",60,200,"3rd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","8",3.2e+07,"70",NA,"Rectangular Shaped","7.5","","","","House","House","East",5.4,"Private Road","1 Exc Med",60,200,"3rd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","7",8e+07,"120",NA,"Rectangular Shaped","7.5","","","","Housing Complex","House","South",4,"Road","1 Exc Med",60,200,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Iwabuchimachi","Akabane Iwabuchi","5",8e+06,"35",NA,"Rectangular Shaped","3","30","1967","W","House","House","East",3.2,"Private Road","Quasi-Ind",60,200,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Ukima","Ukimafunado","9",1.1e+08,"115",NA,"Semi-rectangular Shaped","4","175","2025","W","Housing Complex","Other","East",4,"Private Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Ukima","Ukimafunado","10",4.2e+08,"780",NA,"Trapezoidal Shaped","21","420","1981","S","Factory","House","South",11,"Ward Road","Quasi-Ind",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Ukima","Ukimafunado","4",9.2e+07,"100",NA,"Semi-rectangular Shaped","11","220","1988","S","Housing Complex","House","South",6,"Ward Road","Neighborhood Comm",80,300,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Ukima","Kita Akabane","1",9e+07,"75",NA,"Rectangular Shaped","6","130","1989","S","Housing Complex","House","Southwest",4.2,"Ward Road","Neighborhood Comm",80,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Ukima","Kita Akabane","5",6.7e+07,"105",NA,"Irregular Shaped","8","135","1984","S, W","House","House","East",8,"Ward Road","Quasi-Ind",60,200,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Ukima","Kita Akabane","5",6.7e+07,"95",NA,"Rectangular Shaped","5.8","100","2024","W","House","House","Southwest",4,"Private Road","Industrial",60,200,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Ukima","Kita Akabane","3",4.4e+07,"60",NA,"Rectangular Shaped","5","65","2014","W","House","House","Southwest",4,"Private Road","1 Exc Med",60,200,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Oji","Oji(Tokyo)","11",6.6e+07,"90",NA,"Semi-rectangular Shaped","4.9","90","2000","W","House","","South",6,"Ward Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Oji","Oji Kamiya","1",5.2e+07,"55",NA,"Semi-trapezoidal Shaped","4.4","90","2001","W","House","House","North",4,"Private Road","Neighborhood Comm",80,300,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Oji","Oji Kamiya","7",7.4e+07,"70",NA,"Trapezoidal Shaped","5.2","90","","W","","House","Southeast",4,"Private Road","1 Res",60,200,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Oji","Oji Kamiya","6",2.1e+07,"65",NA,"Rectangular Shaped","","80","1975","W","House, Housing Complex","House","Southwest",1.8,"Private Road","Neighborhood Comm",80,300,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Oji","Oji Kamiya","4",5.7e+07,"130",NA,"Semi-rectangular Shaped","5.4","140","1975","W","Shop","House","East",8,"Ward Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Oji","Oji Kamiya","7",3.7e+07,"70",NA,"Semi-trapezoidal Shaped","5.2","70","","","","House","Southeast",4,"Private Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Oji","Oji Kamiya","7",9.7e+07,"90",NA,"Semi-trapezoidal Shaped","10.1","115","2025","W","House","House","West",6,"Ward Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Ojihoncho","Oji(Tokyo)","8",2.3e+08,"115",NA,"Irregular Shaped","9.8","420","1995","S","Housing Complex, Shop","House","North",20,"Ward Road","Neighborhood Comm",80,400,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Ojihoncho","Oji(Tokyo)","10",1.6e+08,"120",NA,"Semi-shaped","9.6","450","1982","S","Housing Complex, Office","","Northeast",18,"Tokyo Metropolitan Road","Neighborhood Comm",80,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Ojihoncho","Shin Itabashi","11",1.5e+09,"640",NA,"Semi-rectangular Shaped","20.1","1400","2025","RC","Housing Complex","Other","South",6.4,"Ward Road","Neighborhood Comm",80,300,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","13",8e+07,"75",NA,"Semi-rectangular Shaped","7","95","2025","W","House","House","South",4,"Ward Road","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","14",6.2e+07,"55",NA,"Rectangular Shaped","5","80","2025","W","House","House","South",3.2,"Private Road","1 Exc Med",60,150,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","",8.5e+07,"95",NA,"Semi-trapezoidal Shaped","9.2","","","","","Other","Northwest",3.4,"Ward Road","Neighborhood Comm",80,400,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","13",5e+07,"65",NA,"Irregular Shaped","2.8","70","2024","W","House","House","South",2.7,"Ward Road","1 Exc Med",60,150,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","8",6.1e+07,"115",NA,"Irregular Shaped","2","65","2010","W","House","House","Northeast",3.6,"Ward Road","1 Res",60,200,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13117,"Tokyo","Kita Ward","Kamijujo","Jujo(Tokyo)","1",4.7e+07,"85",NA,"Semi-trapezoidal Shaped","6.1","95","1952","W","House, Shop","Shop","North",18,"Tokyo Metropolitan Road","Neighborhood Comm",80,400,"4th quarter 2024",""
